,DateValue,Num_Pes_Designate,PesAdmitted
1060,11/26/2020,13,1
1061,11/27/2020,12,3
1062,11/28/2020,14,3
1063,11/29/2020,13,2
1064,11/30/2020,12,2
1065,12/1/2020,17,2
1066,12/2/2020,24,3
1067,12/3/2020,12,5
1068,12/4/2020,12,0
1069,12/5/2020,12,1
1070,12/6/2020,15,2
1071,12/7/2020,14,0
1072,12/8/2020,15,5
1073,12/9/2020,12,5
1074,12/10/2020,16,2
1075,12/11/2020,15,3
1076,12/12/2020,8,2
1077,12/13/2020,9,0
1078,12/14/2020,13,3
1079,12/15/2020,18,5
1080,12/16/2020,12,1
1081,12/17/2020,16,2
1082,12/18/2020,13,6
1083,12/19/2020,8,1
1084,12/20/2020,7,1
1085,12/21/2020,12,2
1086,12/22/2020,17,5
1087,12/23/2020,18,6
1088,12/24/2020,10,2
1089,12/25/2020,12,2
1090,12/26/2020,7,4
1091,12/27/2020,12,2
1092,12/28/2020,11,0
1093,12/29/2020,13,3
1094,12/30/2020,21,4
1095,12/31/2020,7,2
