,DateValue,Num_Pes_Designate,PesAdmitted
244,9/2/2018,14,1
245,9/3/2018,12,1
246,9/4/2018,14,2
247,9/5/2018,19,4
248,9/6/2018,19,3
249,9/7/2018,20,1
250,9/8/2018,11,4
251,9/9/2018,16,2
252,9/10/2018,17,3
253,9/11/2018,21,3
254,9/12/2018,22,4
255,9/13/2018,12,4
256,9/14/2018,16,5
257,9/15/2018,6,1
258,9/16/2018,14,2
259,9/17/2018,17,1
260,9/18/2018,19,2
261,9/19/2018,16,4
262,9/20/2018,9,0
263,9/21/2018,20,4
264,9/22/2018,17,1
265,9/23/2018,17,1
266,9/24/2018,15,3
267,9/25/2018,17,3
268,9/26/2018,17,3
269,9/27/2018,13,2
270,9/28/2018,15,4
271,9/29/2018,13,2
272,9/30/2018,15,4
273,10/1/2018,17,2
274,10/2/2018,11,2
275,10/3/2018,15,1
276,10/4/2018,15,2
277,10/5/2018,15,2
278,10/6/2018,12,2
279,10/7/2018,15,1
280,10/8/2018,10,2
281,10/9/2018,18,1
282,10/10/2018,11,3
283,10/11/2018,16,4
284,10/12/2018,11,2
285,10/13/2018,20,2
286,10/14/2018,9,1
287,10/15/2018,19,1
288,10/16/2018,20,6
289,10/17/2018,22,2
290,10/18/2018,15,3
291,10/19/2018,18,4
292,10/20/2018,15,1
293,10/21/2018,21,2
294,10/22/2018,13,5
295,10/23/2018,15,4
296,10/24/2018,21,2
297,10/25/2018,17,4
298,10/26/2018,15,4
299,10/27/2018,12,0
300,10/28/2018,15,3
301,10/29/2018,18,3
302,10/30/2018,16,1
303,10/31/2018,17,4
304,11/1/2018,20,3
305,11/2/2018,11,2
306,11/3/2018,13,2
307,11/4/2018,8,0
308,11/5/2018,15,2
309,11/6/2018,21,4
310,11/7/2018,16,4
311,11/8/2018,21,2
312,11/9/2018,15,6
313,11/10/2018,11,0
314,11/11/2018,13,1
315,11/12/2018,17,3
316,11/13/2018,18,1
317,11/14/2018,14,4
318,11/15/2018,19,4
319,11/16/2018,14,3
320,11/17/2018,13,3
321,11/18/2018,8,0
322,11/19/2018,19,4
323,11/20/2018,11,4
324,11/21/2018,17,2
325,11/22/2018,17,1
326,11/23/2018,8,2
327,11/24/2018,16,2
328,11/25/2018,6,0
329,11/26/2018,22,3
330,11/27/2018,13,5
331,11/28/2018,15,0
332,11/29/2018,18,3
333,11/30/2018,19,2
334,12/1/2018,9,1
335,12/2/2018,16,3
336,12/3/2018,15,4
337,12/4/2018,14,2
338,12/5/2018,21,5
339,12/6/2018,19,4
340,12/7/2018,8,1
341,12/8/2018,11,1
342,12/9/2018,14,1
343,12/10/2018,15,3
344,12/11/2018,15,1
345,12/12/2018,20,2
346,12/13/2018,17,3
347,12/14/2018,12,2
348,12/15/2018,8,3
349,12/16/2018,19,0
350,12/17/2018,17,3
351,12/18/2018,16,4
352,12/19/2018,12,2
353,12/20/2018,17,4
354,12/21/2018,19,3
355,12/22/2018,15,2
356,12/23/2018,8,3
357,12/24/2018,12,1
358,12/25/2018,8,2
359,12/26/2018,13,4
360,12/27/2018,14,4
361,12/28/2018,13,0
362,12/29/2018,12,1
363,12/30/2018,11,3
364,12/31/2018,10,1
365,1/1/2019,14,5
366,1/2/2019,12,3
367,1/3/2019,20,1
368,1/4/2019,10,0
369,1/5/2019,15,1
370,1/6/2019,13,2
371,1/7/2019,17,0
372,1/8/2019,14,3
373,1/9/2019,14,1
374,1/10/2019,15,4
375,1/11/2019,8,3
376,1/12/2019,16,3
377,1/13/2019,13,2
378,1/14/2019,20,2
379,1/15/2019,17,5
380,1/16/2019,20,1
381,1/17/2019,17,2
382,1/18/2019,21,1
383,1/19/2019,12,0
384,1/20/2019,12,1
385,1/21/2019,17,2
